name,price,regular_price,discount_price
"4K UHD Smart PHILIPS 55 PML 8709, 55""(139cm)",29.999,39.999,29.999
"4K UHD SMART TV LG 55 UT 91003 LA 55""(139.7cm)",29.999,45.999,29.999
"4k UHD SMART TV GRUNDIG 65 GHU 8590, 65"" (165.1cm), Google TV",30.995,38.999,30.995
LG 55 NANO 81A3A,30.999,30.999,30.999
"4K UHD Smart SAMSUNG QE 55 Q67 DAUXXH, 55""(139cm)",30.999,39.999,30.999
SAMSUNG QE 43 Q7F AAUXXH,31.499,34.999,31.499
HISENSE 55 E7Q PRO,31.999,31.999,31.999
LG 55 NANO 90A3B,31.999,32.999,31.999
GRUNDIG 65 GHU 7850 B,31.999,34.999,31.999
"4K Smart TV FUEGO 75 ELU 720 GTV  75""(190.5cm)",31.999,39.999,31.999
GRUNDIG 65 GIQ 8950 B,31.999,41.999,31.999
"4k ULTRA HD LED SMART TV PHILIPS 65 PUS 8079 65"" (164cm)",32.995,42.999,32.995
"4K QLED UHD Smart HISENSE 65 A7 NQ, 65""(164cm)",32.999,35.999,32.999
GRUNDIG 65 GHU 7990 B,32.999,39.999,32.999
"4K UHD SMART TV LG 65 NANO 81T3A 65""(165cm)",32.999,44.999,32.999
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"4К UHD Smart TV SAMSUNG UE 65 DU 7172 UXXH 65""(165cm)",32.999,45.999,32.999
"4k UHD SMART LED TV GRUNDIG 75 GHU 7800 B, 75""(190.5cm)",33.995,49.999,33.995
FUEGO 75 HKU 720 GTV,33.999,39.999,33.999
"4k UHD SMART TV QLED GRUNDIG 55 GHQ 8990, 55""(139cm), GoogleTV",33.999,41.999,33.999
"4K UHD SMART TV LG 65 UT 80003 LA 65""(165.1cm)",33.999,44.999,33.999
SAMSUNG QE 50 Q7F AAUXXH,34.499,40.999,34.499
"4K QLED UHD Smart PHILIPS 65 PUS 8209, 65""(165.1cm)",34.995,49.999,34.995
SAMSUNG QE 55 Q7F AAUXXH,34.999,45.999,34.999
"4К UHD Smart TV SAMSUNG UE 65 DU 8072 UXXH  65""(165.1cm)",34.999,46.999,34.999
"4K UHD Smart TCL 65 C61B, 65""(165.1cm)",35.999,42.999,35.999
"4K UHD Smart PHILIPS 75 PUS 7609, 75""(189cm)",37.995,49.999,37.995
LG 65 NANO 90A3B,37.999,37.999,37.999
SAMSUNG UE 65 U8072F UXXH,37.999,44.999,37.999
"4K UHD SMART TV SONY KD 55 X75 WLPAEP, 55""(139.7cm)",37.999,59.999,37.999
"4K QLED UHD Smart GRUNDIG 75 GIQ 8900B, 75""(189cm)",38.995,51.499,38.995
"4K Mini LED UHD Smart HISENSE 55 U7 NQ, 55""(139cm)",38.999,39.999,38.999
LG 55 QNED 82A3B,38.999,40.999,38.999
"4K UHD Smart QD-Mini LED TCL 55 C803, 55""(139.7cm)",38.999,45.499,38.999
"4k UHD SMART LED TV GRUNDIG 75 GHU 7970 B, 75""(190.5cm), Android TV",39.995,50.999,39.995
"4K Ultra HD LED SMART TV PHILIPS 55 PUS 8919 55""(139cm)",39.995,52.999,39.995
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"4K UHD SMART TV LG 75 UR 78003 LK, 75""(190.5cm)",39.995,54.999,39.995
"4K UHD QNED Smart LG 65 QNED 80T3A, 65""(165.1cm)",39.995,57.999,39.995
"4K Mini LED UHD Smart PHILIPS 65 PML 8709, 65""(164cm)",40.995,54.999,40.995
"4K QLED UHD Smart HISENSE 65 E7 NQ PRO, 65""(164cm)",40.999,41.999,40.999
"4K UHD Smart HISENSE 75 A6 N, 75""(189cm)",41.999,42.999,41.999
TCL 75 C61B,42.999,52.499,42.999
"4k UHD SMART TV QLED GRUNDIG 65 GHQ 8990 65""(165.1cm), GoogleTV",42.999,54.999,42.999
"4К QLED UHD Smart TV SAMSUNG QE 55 Q70 DATXXH 55""(139cm)",42.999,59.999,42.999
LG 55 QNED 80A3A,43.999,43.999,43.999
LG QNED 65 QNED70A6A,43.999,43.999,43.999
TCL NXTFRAME 55 A300W,43.999,46.999,43.999
"4K UHD SMART TV LG 65 UT 91003 LA 65""(165.1cm)",43.999,53.999,43.999
"4K UHD SMART TV LG 55 QNED 86T 3A 55""(139.7cm)",43.999,56.999,43.999
GRUNDIG 75 GHU 7990 B,44.999,52.999,44.999
"4К QLED UHD Smart TV SAMSUNG QE 65 Q60 DAUXXH 65""(165.1cm)",44.999,62.999,44.999
PHILIPS 55 PUS 9010 Ambilight,45.999,45.999,45.999
LG 55 QNED 87A3B,46.999,48.999,46.999
LG 55 QNED 86A3A,47.999,47.999,47.999
"4К QLED UHD Smart TV SAMSUNG QE 55 Q80 DATXXH 55""(139.7cm)",47.999,72.999,47.999
"4K QLED UHD Smart HISENSE 75 E7 NQ PRO, 75""(189cm)",48.999,54.999,48.999
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
SAMSUNG QE 65 Q7F AAUXXH,48.999,59.999,48.999
"4K UHD Smart QD-Mini LED TCL 65 C803, 65""(165.1cm)",48.999,61.499,48.999
"QLED 4К Smart TV  SAMSUNG Frame QE 55 LS03 DAUXXH, 55"" (139.7cm)",48.999,62.999,48.999
"4К Mini LED Smart TV SAMSUNG QE 55 QN85 DBTXXH, 55""(139cm)",49.995,69.999,49.995
"4k UHD SMART TV GRUNDIG 55 OLED GH 950 55""(139cm), GoogleTV",49.995,69.999,49.995
"8К Mini LED UHD Smart TV SAMSUNG QE 55 QN700BTXXH, 55""(139.7cm)",49.995,151.999,49.995
"4K Mini LED UHD Smart HISENSE 65 U7 NQ, 65""(164cm)",49.999,50.999,49.999
"4K UHD SMART TV LG 75 UT 80003 LA 75""(190.5cm)",49.999,61.999,49.999
"4K NANO UHD Smart LG 75 NANO 81T3A, 75""(190.5cm)",49.999,64.999,49.999
"4K UHD SMART TV LG 75 UT 91003 LA 75""(190.5cm)",49.999,72.999,49.999
"4K UHD OLED Smart LG 55 B43 LA, 55""(139.7cm), 120Hz",51.995,72.999,51.995
