name,price
"Notebook Dell Vostro 3530 i5-1334U/16GB/512GB/IntelUHD/15.6""FHD120Hz/BLKB/3Cell","25.480,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen5 5625U 16GB/512GB/15.6"" FHD IPS/Arctic Grey","22.980,00 ден."
"Notebook Lenovo IdeaPad 1 Ryzen5 5500U/16GB/512GB/15.6"" FHD/ DOS","19.980,00 ден."
"Notebook Lenovo LOQ Gaming i5-12450HX/24GB/512GB/RTX4060 8GB/ 15.6"" FHD IPS 144Hz","56.980,00 ден."
"Notebook Lenovo LOQ Gaming Ryzen7 7435HS/16GB/512GB/RTX4050 6GB/15.6"" FullHD 144Hz/Backlit Kb/DOS","49.980,00 ден."
"Notebook Dell Inspiron 3535 Ryzen5 7530U/16GB/512GB/Radeon 610M/15.6"" FHD120Hz/BacklitKB/3Cell/Linux","25.480,00 ден."
"Notebook Lenovo V15 Business G4 i5-13420H/16GB/512GB/15.6"" FHD IPS/USB-C/GigaLan","26.480,00 ден."
Notebook Lenovo IdeaPad Slim 3 Ryzen5 7533HS/16GB/512GB/15.3 WUXGA IPS/Radeon 660M,"24.980,00 ден."
"Notebook Lenovo LOQ Gaming i7-13650HX/24GB/1TB/RTX5070 8GB/15.6"" IPS 144Hz G-Sync","86.980,00 ден."
"Notebook Lenovo LOQ Gaming i7-13650HX/24GB/1TB/RTX5060 8GB/15.6"" IPS 144Hz G-Sync","74.980,00 ден."
"Notebook HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Warm Gold","17.480,00 ден."
"Notebook HP 15 i5-1334U/16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Moonlight blue","25.480,00 ден."
"Notebook Lenovo IdeaPad Flex 5 Ryzen7 5825U/16GB/512GB/14"" WUXGA IPS Touch/Pen/BacklitKB/Win11","42.980,00 ден."
"Notebook Lenovo IdeaPad 1 Ryzen5 5500U/8GB/512GB/15.6"" FHD/ DOS","18.980,00 ден."
"Notebook HP 15 i3-1315U/12GB/512GB/15.6"" FHD IPS/Intel UHD/Type-C/DOS/Silver","19.480,00 ден."
"Notebook Gigabyte A16 Gaming i7-13620H/16GB/1TB SSD/RTX 5060 8GB/16.0"" FHD+ 165Hz IPS/Type-C/DOS","64.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen7 7730U/16GB/512GB/15.6"" FHD AG 250nits/ArcticGrey","26.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen3 7320U/8GB/512GB/15.6"" FHD/DOS","17.980,00 ден."
"Notebook Dell Inspiron 3535 Ryzen7 7730U/16GB/1TB/Radeon 610M/15.6"" FHD120Hz/BacklitKB/3Cell/Linux","30.780,00 ден."
"Notebook HP 14 Ryzen3 7320U/8GB/512GB/14"" FHD IPS AG 250nits/DOS/Jet Black","17.480,00 ден."
"Notebook Dell Vostro 3420 i5-1135G7/16GB/512GB/Iris XE/14"" FullHD/BacklitKB/3Cell/Ubuntu","26.980,00 ден."
"Notebook Acer Aspire 5 A515-58P-77RL i7-1355U/16GB/512GB/15.6"" FHD IPS/GigaLAN/Steel Gray/Linux","32.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 i3-1305U/8GB/256GB/15.6"" FullHD/DOS/UltraSlim/Gray","17.980,00 ден."
"Notebook HP 250 G10 i5-1335U 8GB/512GB/15.6"" FullHD AG/HDMI/USB-C/DOS","22.980,00 ден."
"Notebook HP ProBook 455 G10 Ryzen5 7530U/16GB/512GB/15.6"" FullHD IPS/HDMI/USB-C/RJ45/DOS","30.980,00 ден."
"Notebook Lenovo LOQ Gaming Ryzen5 7235HS/24GB/512GB/RTX3050 6GB/15.6"" FHD 144Hz/Backlit Kb/DOS/Grey","43.980,00 ден."
"Notebook HP Victus Gaming i7 13700H/16GB/512GB/RTX 4060 8GB/15.6"" FHD IPS 144Hz/Backlit Kb/Blue","69.980,00 ден."
"Notebook Dell Inspiron 3535 Ryzen5 7520U/8GB/512GB/Radeon 610M/15.6"" FHD120Hz/BacklitKB/3Cell/Linux","20.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Core 7 150U/16GB/512GB/15.6"" FHD IPS 300nits/Arc.Grey","38.980,00 ден."
"Notebook Lenovo ThinkBook 15 G4 Ryzen7 5825U/16GB/1TB/15.6"" FHD/Backlit KB/Dos","39.980,00 ден."
"Notebook HP 15 i5-1334U/16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Diamond White","25.480,00 ден."
"Notebook HP ProBook 450 G10 i7-1355U/16GB/512GB/15.6"" FullHD IPS/HDMI/USB-C/RJ45/DOS","45.980,00 ден."
"Notebook Lenovo Gaming 3 i5-12450H/8GB/512GB/RTX3060 6GB/15.6"" FHD 120Hz/Backlit Kb/DOS","42.480,00 ден."
"Notebook HP Pavilion 15 Ryzen7 7730U/16GB/512GB/15.6"" FullHD IPS/DOS/Silver","26.980,00 ден."
"Notebook Acer Extensa EX215-55 i5-1235U/16GB/512GB/15.6"" FHD/IrisXe/GigaLAN","22.980,00 ден."
"Notebook HP Envy 15 x360 Ryzen7 7730U/16GB/512GB/15.6"" FHD Touch OLED/Backlit Kb/Win11","56.480,00 ден."
"Notebook Lenovo Legion Pro 5 Ultra 9 275HX/32GB/1TB/RTX5070 Ti 12GB/16"" OLED 165Hz G-Sync","137.980,00 ден."
"Notebook HP ProBook 450 G10 i5-1334U/16GB/512GB/15.6"" FullHD IPS/HDMI/USB-C/RJ45","32.980,00 ден."
"Notebook Gigabyte A16 Gaming i5-13420H/16GB/512GB SSD/RTX 4050 6GB/16.0"" FHD+ 165Hz IPS/Type-C/DOS","49.980,00 ден."
"Notebook Lenovo Legion 5 i7-14700HX/32GB/1TB/RTX5050 8GB/15.1"" OLED 165Hz/RGB BacklitKB","86.980,00 ден."
"Notebook Lenovo Legion 5 Ultra 7 255HX/32GB/1TB/RTX5070 8GB/15.1"" OLED 165Hz/BacklitKB","107.980,00 ден."
"Notebook Lenovo Gaming 3 i5-12450H/16GB/512GB/RTX3060 6GB/15.6"" FHD 120Hz/Backlit Kb/DOS","43.980,00 ден."
"Notebook Acer Nitro Gaming ANV15-51 i5-13420H/16GB/512GB/RTX2050/15.6"" IPS 165Hz","36.480,00 ден."
"Notebook Asus Zenbook 14 Q415 Ultra 5 125H/8GB/512GB SSD/14"" WUXGA OLED Touch/Backlit KB/Win11/Gray","44.980,00 ден."
"Notebook Dell Vostro 3420 i7-1165G7/16GB/512GB/Intel Iris XE/14"" FullHD/BacklitKB/4Cell/DOS","30.980,00 ден."
"Notebook Lenovo Gaming 3 i7-12650H/16GB/512GB/RTX3050 Ti 4GB/16"" FullHD AG 165Hz 350N/DOS","47.980,00 ден."
"Notebook HP OMEN Transcend i7-13700HX/16GB/512GB/RTX4060 8GB/16.0"" WUXGA IPS 165Hz/Backlit Kb/DOS","89.980,00 ден."
"Notebook Lenovo IdeaPad 1 Ryzen5 7520U/16GB/512GB/15.6"" Full HD/DOS","22.480,00 ден."
"Notebook Dell Latitude 3520 i7-1165G7/16GB/256GB/15.6"" FHD/FRP/BacklitKB/Win11Pro","43.980,00 ден."
"Notebook HP Pavilion 15 i5-1335U 16GB/512GB SSD/15.6"" FullHD IPS/White/DOS","30.980,00 ден."
"Notebook Acer NITRO AN515 i5-11400H 16GB/512GB/RTX3050 4GB/15.6"" FUllHD IPS 144Hz/Linux/Black","38.980,00 ден."
"Notebook Lenovo ThinkBook 16 G7 Ryzen7 7735HS/16GB/512GB SSD/16"" WUXGA/Backlit Kb/DOS","44.980,00 ден."
"Notebook Dell Latitude 5450 Ultra 5 135U/16GB/512GB SSD/14"" FHD IPS/Backlit KB/Ubuntu/Grey","53.980,00 ден."
"Notebook Dell Vostro 3520 i7-1255U/16GB/512GB/Iris XE/15.6"" FHD 120Hz/BacklitKB/4Cell/Ubuntu","30.980,00 ден."
"Notebook Dell G16 7630 Gaming i7-13650HX/32GB/1TB/RTX 4060 8GB/16"" QHD+ IPS 240Hz 3ms/Backlit KB/DOS","93.980,00 ден."
"Notebook HP Victus Gaming Ryzen7 7840HS/16GB/1TB/RTX4050 6GB/16.1"" FHD IPS 144Hz/Backlit Kb/Blue/DOS","59.980,00 ден."
"Notebook Lenovo Yoga 6 Ryzen5 7530U 16GB/512GB/13.3"" WUXGA IPS Touch/FPR/BacklitKB/Pen/W11H","47.980,00 ден."
"Notebook Lenovo ThinkBook 16 G7 Ultra 5 125U/32GB/1TB SSD/16"" WUXGA IPS/Backlit Kb/DOS","48.980,00 ден."
"Notebook Dell Vostro 3520 i3-1215U/8GB/256GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/4Cell/Ubuntu","17.980,00 ден."
"Notebook Dell Vostro 3530 i7-1355U/8GB/512GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/4Cell/Ubuntu","34.480,00 ден."
"Notebook HP Victus Gaming i5 12500H/16GB/512GB SSD/RTX 4050 6GB/15.6"" FHD IPS 144Hz/Backlit Kb/Win11","53.980,00 ден."
"Notebook Acer Nitro Ryzen7 6800H/8GB/512GB SSD/RTX 3050Ti 4GB/15.6"" FHD IPS 144Hz/Bkaclit Kb/Dos","44.980,00 ден."
"Notebook Dell Vostro 3525 Ryzen7 5825U/16GB/512GB/Vega8/15.6"" FHD 120Hz/Ubu","26.980,00 ден."
"Notebook HP ProBook 445 G10 Ryzen7 7730U/8GB/512GB/14"" FullHD IPS/Silver Al/DOS","35.980,00 ден."
"Notebook Gigabyte AERO X16 Ryzen AI 7 350/32GB/1TBSSD/RTX 5070 8GB/16"" IPS QHD+ 165Hz/W11H","99.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen7 7730U/16GB/512GB/15.6"" FHD IPS AG 250nits/Arc.Grey","26.980,00 ден."
"Notebook Acer Swift 3 Ryzen3 5300U/8GB/256GB/14"" FHD IPS/USB-C/FRP","17.480,00 ден."
"Notebook Dell Latitude 3550 i5-1335U/16GB/512GB/15.6"" FHD IPS/FRP/Backlit Kb","45.980,00 ден."
"Notebook Dell Latitude 5440 i5-1335U/16GB/512GB/14.0"" FHD/Backlit Kb","49.980,00 ден."
"Notebook HP OmniBook X Snapdragon X Plus/16GB/512GB /14"" 2.2K Touch/Backlit Kb/Win11/Silver","44.980,00 ден."
"Notebook HP Envy 14 x360 2in1 Ultra 5 120U/8GB/512GB SSD/14"" FHD Touch/Backlit Kb/Win11/Silver","44.980,00 ден."
"Notebook HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Diamond White","17.980,00 ден."
"Notebook HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Silver","17.980,00 ден."
"Notebook HP Envy x360 2in1 Ultra 7 150U/16GB/512GB SSD/14"" FHD Touch/Backlit Kb/Win11","54.980,00 ден."
"Notebook HP ProBook 440 G11 Ultra 7 155U/8GB/512GB/14"" FullHD IPS/HDMI/USB-C/RJ45/DOS","41.980,00 ден."
"Notebook HP OMEN i7-13620H/16GB/1TB/RTX4050 6GB/16.1"" FHD IPS 165Hz/Backlit Kb/Win11","81.980,00 ден."
"Notebook HP ProBook 455 G10 Ryzen5 7530U/8GB/512GB/15.6"" FullHD IPS/HDMI/USB-C/RJ45/DOS","28.980,00 ден."
"Notebook HP ProBook 460 G10 Ultra 5 125U/8GB/512GB/16"" WUXGA IPS/Backlit Kb/FP/DOS","38.480,00 ден."
"Notebook HP 15 i5-1334U/16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Silver","25.980,00 ден."
"Notebook Acer Nitro AN515 Ryzen7 6800H/32GB/1TB/RTX 3070Ti 8GB/15.6"" FullHD IPS 165Hz/Linux","69.980,00 ден."
"Notebook HP ProBook 455 G9 Ryzen5 5625U 8GB/256GB/15.6"" FullHD IPS/USB-C/GigaLAN/DOS/Silver","26.980,00 ден."
"Notebook Gigabyte AERO X16 Ryzen AI 9 HX 370/32GB/1TBSSD/RTX 5070 8GB/16"" IPS QHD+ 165Hz/W11H","109.980,00 ден."
