name,price
Лаптоп Lenovo V15 ( IRONGRAY ),"24,495 ден."
Лаптоп HP  15s-fq2001nia (Natural Silver ) - Процесор Intel® Core™ i7-1165G7 Processor (12M Cache up to 4.7GHz),"24,495 ден."
Лаптоп ACER Aspire 5 A515-47-R4E1 - Процесор AMD Ryzen™ 7 5825U (16M Cache,"24,495 ден."
Лаптоп LENOVO IdeaPad Slim 3 15ARP10  ( GRAY ),"24,499 ден."
Лаптоп ASUS M1505YA-OLED-L511 (GRAY),"24,499 ден."
Лаптоп Lenovo Slim IdeaPad 3 15IRU8 ( GRAY ),"24,499 ден."
Лаптоп ACER Aspire 3 (A315-44P-R87M),"24,499 ден."
Лаптоп  ASUS Vivobook Go 15 E1504FA-NJ319  ( Green Grey ),"24,499 ден."
Лаптоп ACER Aspire 3 (A315-44P-R87F),"24,499 ден."
Лаптоп DELL Vostro 3530,"24,499 ден."
Лаптоп Lenovo IdeaPad Slim 3 15IAH8 ( GRAY ),"24,499 ден."
Лаптоп DELL Vostro 3530,"24,799 ден."
Лаптоп DELL Vostro 3530,"24,799 ден."
Лаптоп DELL Inspiron 3535 ( Silver ),"24,999 ден."
Лаптоп ACER Aspire 16 16-52P-50A8 ( GRAY ),"24,999 ден."
Лаптоп ASUS Vivobook  X1504VA-BQ005 ( Silver ),"24,999 ден."
Лаптоп HP 250 G10 (Dark Ash Silver),"24,999 ден."
Лаптоп HP 255 G10 (Natural Silver),"24,999 ден."
Лаптоп ASUS K513EA-OLED-L522 (Transparent Silver),"25,995 ден."
Лаптоп DELL Inspiron 3535,"25,999 ден."
Лаптоп ASUS Vivobook Go 15 E1504FA-NJ1475 ( Cool Silver ),"25,999 ден."
Лаптоп Lenovo Slim IdeaPad 3 15IRH8 ( GRAY ),"25,999 ден."
Лаптоп Lenovo Slim IdeaPad 3 15IRH10 ( GRAY ),"25,999 ден."
Лаптоп ASUS Vivobook 15 M1502YA-BQ580 (Silver),"25,999 ден."
Лаптоп HP  15-dw3142nia (Natural Silver ),"26,995 ден."
Лаптоп HP  15-dw3142nia (Natural Silver ),"26,995 ден."
Лаптоп HP 250 G8 (Dark Ash Silver),"26,995 ден."
Лаптоп ASUS B1502CBA-UI51C0 ( Star Black ) US MIL-STD 810H military-grade standard,"26,995 ден."
Лаптоп LENOVO  IdeaPad 3 15ABR8 ( GRAY ),"26,999 ден."
Лаптоп DELL Vostro 3530,"26,999 ден."
Лаптоп HP 15-fc0047nia (Natural Silver),"26,999 ден."
Лаптоп HP Pavilion 15-eh3000nia (Natural Silver),"26,999 ден."
Лаптоп LENOVO  IdeaPad 3 15ARP10 ( GRAY ),"26,999 ден."
Лаптоп DELL Vostro 3530 + Dell Backpack CP3724,"26,999 ден."
Лаптоп HP 250 G10 (Dark Ash Silver),"26,999 ден."
Лаптоп HP 15-fd0026nn (Natural Silver),"26,999 ден."
Лаптоп DELL Vostro 3500,"27,995 ден."
Лаптоп DELL Vostro 3510,"27,995 ден."
Лаптоп ASUS Vivobook 15 X1502VA-NJ290 (  Cool Silver ),"27,999 ден."
Лаптоп Lenovo IdeaPad 3 15ITL6 ( GRAY ),"28,995 ден."
Лаптоп ASUS Vivobook  X1504VA-BQ1649 ( Silver ),"28,999 ден."
Лаптоп ASUS Vivobook 15 M1502YA-BQ161 (Silver),"28,999 ден."
Лаптоп ACER Aspire 5 515-58P-504Q ( GRAY ),"28,999 ден."
Лаптоп ACER Aspire Go 15 (AG15-42P-R6WF) - Процесор AMD Ryzen™ 7 5825U (16M Cache,"28,999 ден."
Лаптоп ACER Aspire 5 515-58P-5845 ( GRAY ),"28,999 ден."
Лаптоп DELL Inspiron 3535 ( Silver ),"29,799 ден."
Лаптоп DELL Vostro 3535,"30,799 ден."
Лаптоп Lenovo IdeaPad 3 15IAU7 ( GRAY ),"30,995 ден."
Лаптоп ASUS Vivobook  X1504VA-BQ1697 ( Silver ),"30,999 ден."
Лаптоп ACER Aspire 3 A315-59-742R ( Silver ) -Процесор  Intel® Core™ i7-1255U  (12M Cache,"31,999 ден."
Лаптоп HP  15-dw4246nia (Natural Silver ),"31,999 ден."
Лаптоп HP 15s-fq5405nia (Natural Silver ),"31,999 ден."
Лаптоп Lenovo IdeaPad Slim 3 15IRH10 ( GRAY ),"31,999 ден."
Лаптоп DELL Vostro 3520,"32,995 ден."
Лаптоп DELL Vostro 3520,"32,995 ден."
Лаптоп ACER Aspire Go 15 (AG15-71P-75AL),"32,999 ден."
Лаптоп ASUS Vivobook 17 X1704VA-AU531 ( Silver ),"32,999 ден."
Лаптоп Lenovo IdeaPad Slim 3 15IRH8 ( GRAY ),"32,999 ден."
Лаптоп ACER Aspire 5 515-58P-77RL (Steel Gray,"32,999 ден."
Лаптоп HP 250 G10 (Silver),"32,999 ден."
Лаптоп LENOVO  IdeaPad 3 15ARP10 ( GRAY ),"32,999 ден."
Лаптоп ASUS Vivobook 17 X1704VA-AU531 ( Quiet Blue ),"33,999 ден."
Лаптоп DELL Vostro 3520,"33,999 ден."
LENOVO Ideapad 5-15IIL ( BLACK )- Intel® Core™ I5-1035G1 Processor (6M Cache,"34,999 ден."
